ID,Customer_Age,Gender,Education_Level,Marital_Status,Card_Category,Months_on_book,Credit_Limit,Attrition_Flag
42,51,M,Unknown,Married,Blue,44,6205,Existing Customer
43,50,F,College,Single,Silver,43,17304,Existing Customer
44,49,M,High School,Married,Blue,37,3906,Existing Customer
45,38,F,Graduate,Single,Blue,28,9830,Existing Customer
46,49,M,Uneducated,Single,Blue,30,34516,Existing Customer
47,56,M,Doctorate,Married,Blue,45,2283,Existing Customer
48,59,M,Doctorate,Married,Blue,52,2548,Existing Customer
49,46,M,High School,Married,Blue,40,19458,Existing Customer
50,52,M,College,Single,Blue,40,4745,Existing Customer
51,52,F,Unknown,Married,Blue,41,2622,Existing Customer
52,54,F,Graduate,Married,Blue,40,1438.3,Attrited Customer
53,66,F,High School,Married,Blue,54,3171,Existing Customer
54,49,M,Unknown,Married,Blue,36,19763,Existing Customer
55,56,M,Graduate,Married,Blue,36,15769,Attrited Customer
56,49,F,Graduate,Unknown,Blue,36,3298,Existing Customer
57,49,F,Graduate,Single,Blue,36,2802,Existing Customer
58,56,M,Uneducated,Married,Blue,50,4458,Existing Customer
59,44,F,Graduate,Married,Blue,35,6273,Existing Customer
60,42,M,High School,Single,Blue,34,3336,Existing Customer
61,55,M,Unknown,Married,Blue,47,3436,Existing Customer
62,48,M,Graduate,Married,Silver,35,34516,Attrited Customer
63,39,M,High School,Divorced,Blue,33,5926,Existing Customer
64,44,M,Post-Graduate,Single,Blue,32,23957,Existing Customer
65,53,M,High School,Single,Blue,44,14734,Existing Customer
66,51,M,Uneducated,Single,Silver,38,34516,Existing Customer
67,57,M,College,Married,Blue,52,6584,Existing Customer
68,44,F,Uneducated,Single,Blue,20,2084,Existing Customer
69,49,M,Graduate,Married,Blue,32,1687,Existing Customer
70,50,M,Doctorate,Married,Blue,38,25300,Existing Customer
71,51,M,Graduate,Single,Blue,42,34516,Existing Customer
72,55,F,Graduate,Married,Blue,42,2216,Existing Customer
73,54,M,Graduate,Unknown,Blue,43,2910,Existing Customer
74,42,M,Uneducated,Married,Blue,37,22913,Existing Customer
75,44,M,College,Single,Blue,35,24312,Existing Customer
76,53,M,Graduate,Single,Blue,36,5272,Existing Customer
77,44,F,Graduate,Single,Blue,36,7000,Existing Customer
78,37,F,Uneducated,Single,Blue,29,7038,Existing Customer
79,49,M,Graduate,Divorced,Blue,30,2536,Existing Customer
80,47,M,Graduate,Married,Blue,38,28904,Existing Customer
81,47,M,Graduate,Married,Blue,37,8567,Existing Customer
82,44,M,Unknown,Unknown,Blue,36,34516,Existing Customer
83,55,F,Unknown,Married,Blue,45,2158,Attrited Customer
84,59,F,Graduate,Married,Blue,52,10133,Existing Customer
85,53,M,Graduate,Divorced,Blue,35,34516,Existing Customer
86,52,M,Graduate,Married,Blue,47,3085,Existing Customer
87,53,M,High School,Single,Blue,35,19040,Existing Customer
88,43,F,Uneducated,Single,Blue,35,4026,Existing Customer
89,44,M,High School,Single,Blue,31,12756,Existing Customer
90,57,M,Unknown,Married,Blue,45,5266,Existing Customer
91,51,F,High School,Single,Blue,36,9930,Existing Customer
92,49,M,High School,Single,Blue,38,31302,Existing Customer
93,45,M,Graduate,Single,Blue,36,6576,Existing Customer
94,53,M,Graduate,Single,Blue,42,2664,Existing Customer
95,45,F,Unknown,Married,Blue,28,2535,Existing Customer
96,64,M,Graduate,Married,Blue,52,1709,Existing Customer
97,45,M,Graduate,Married,Blue,35,3454,Existing Customer
98,53,M,Doctorate,Married,Blue,35,3789,Existing Customer
99,56,M,College,Married,Blue,50,9689,Existing Customer
100,47,M,Unknown,Married,Blue,37,5449,Attrited Customer
101,49,F,College,Single,Blue,43,23032,Existing Customer
102,41,F,Unknown,Married,Silver,34,34516,Existing Customer
103,53,M,Graduate,Married,Blue,34,2940,Existing Customer
104,44,F,Graduate,Single,Blue,32,3031,Existing Customer
105,44,M,High School,Unknown,Blue,25,1862,Existing Customer
106,43,F,Post-Graduate,Married,Blue,33,8358,Existing Customer
107,53,M,Post-Graduate,Single,Blue,36,34516,Existing Customer
108,44,M,Uneducated,Married,Blue,36,14450,Existing Customer
109,62,F,Unknown,Married,Blue,56,1438.3,Existing Customer
110,54,M,Unknown,Divorced,Blue,36,33791,Existing Customer
111,57,M,Graduate,Married,Blue,39,8466,Existing Customer
112,42,M,Unknown,Married,Blue,36,15088,Existing Customer
113,42,M,High School,Divorced,Blue,36,3263,Existing Customer
114,54,F,Uneducated,Married,Blue,36,1494,Existing Customer
115,48,M,Graduate,Single,Blue,35,13551,Existing Customer
116,49,M,Graduate,Single,Blue,36,18886,Existing Customer
117,52,M,High School,Unknown,Blue,48,11976,Existing Customer
118,50,M,High School,Single,Blue,39,9964,Existing Customer
119,49,M,Doctorate,Married,Blue,36,24159,Existing Customer
120,53,F,High School,Married,Blue,44,5362,Existing Customer
121,50,M,Graduate,Single,Blue,36,34516,Existing Customer
122,55,F,Doctorate,Married,Blue,36,3174,Existing Customer
123,53,M,High School,Married,Blue,47,12262,Existing Customer
124,47,F,High School,Single,Blue,41,3788,Existing Customer
125,55,M,College,Single,Silver,42,34516,Existing Customer
126,47,M,Graduate,Single,Blue,36,2926,Existing Customer
127,58,M,Graduate,Single,Blue,52,32090,Existing Customer
128,53,M,Graduate,Married,Blue,41,11669,Attrited Customer
129,52,M,High School,Single,Blue,45,13532,Existing Customer
130,50,F,Uneducated,Unknown,Silver,36,11888,Existing Customer
131,42,F,Graduate,Married,Blue,36,2393,Existing Customer
132,43,M,Unknown,Married,Blue,39,6111,Existing Customer
133,57,M,Graduate,Married,Blue,46,19270,Existing Customer
134,52,M,Graduate,Married,Blue,43,3710,Existing Customer
135,47,M,Doctorate,Single,Blue,37,3235,Existing Customer
136,44,F,Graduate,Single,Blue,38,11749,Existing Customer
137,53,M,High School,Divorced,Blue,36,7753,Existing Customer
138,45,M,College,Divorced,Blue,40,10408,Existing Customer
139,63,F,College,Married,Blue,36,3967,Existing Customer
140,39,F,Post-Graduate,Single,Blue,27,6205,Existing Customer
141,48,F,High School,Married,Blue,38,8025,Attrited Customer
142,51,M,Unknown,Single,Blue,42,9036,Existing Customer
143,54,M,Graduate,Married,Blue,34,14926,Existing Customer
144,59,F,Graduate,Single,Blue,36,6335,Existing Customer
145,59,M,College,Single,Blue,53,14979,Attrited Customer
146,48,F,Uneducated,Married,Blue,38,2732,Attrited Customer
147,41,F,Graduate,Single,Blue,32,2250,Existing Customer
148,55,M,Graduate,Married,Blue,50,10916,Existing Customer
149,47,F,Graduate,Married,Blue,36,5349,Existing Customer
150,41,M,High School,Married,Blue,24,9366,Existing Customer
151,40,M,High School,Single,Blue,28,21617,Existing Customer
152,68,M,Graduate,Married,Blue,56,13860,Existing Customer
153,50,F,Graduate,Single,Silver,31,18386,Existing Customer
154,47,M,Uneducated,Single,Blue,41,2405,Existing Customer
155,53,F,College,Married,Blue,47,2154,Existing Customer
156,42,F,Unknown,Married,Blue,36,2038,Existing Customer
157,48,F,High School,Single,Blue,38,8135,Existing Customer
158,49,M,Doctorate,Married,Blue,38,9364,Existing Customer
159,44,F,Uneducated,Married,Silver,35,32643,Existing Customer
160,43,F,Graduate,Divorced,Blue,34,3195,Existing Customer
161,56,M,High School,Married,Blue,43,2852,Existing Customer
162,59,F,College,Single,Blue,36,4224,Existing Customer
163,46,M,Uneducated,Married,Blue,36,20459,Existing Customer
164,47,F,Unknown,Divorced,Blue,41,3482,Existing Customer
165,50,F,Uneducated,Married,Blue,40,3065,Existing Customer
166,51,F,Uneducated,Married,Blue,43,2185,Existing Customer
167,47,F,Uneducated,Married,Blue,36,1611,Existing Customer
168,58,F,Uneducated,Married,Blue,47,2822,Existing Customer
169,46,M,Graduate,Single,Blue,33,32975,Attrited Customer
170,53,M,High School,Married,Blue,47,1438.3,Existing Customer
171,45,F,Uneducated,Divorced,Blue,36,15875,Existing Customer
172,52,F,High School,Married,Blue,45,6703,Existing Customer
173,53,M,Unknown,Married,Blue,36,3212,Attrited Customer
174,50,M,High School,Married,Silver,45,34516,Existing Customer
175,41,F,High School,Married,Blue,36,9797,Existing Customer
176,45,F,Graduate,Divorced,Blue,36,10400,Existing Customer
177,53,M,Uneducated,Married,Blue,42,26792,Existing Customer
178,67,F,Graduate,Married,Blue,56,3006,Existing Customer
179,57,F,Uneducated,Single,Silver,36,19482,Existing Customer
180,59,F,Uneducated,Married,Blue,36,3356,Existing Customer
181,45,M,Uneducated,Married,Blue,34,5771,Existing Customer
182,51,M,Graduate,Married,Blue,36,11106,Existing Customer
183,59,F,Uneducated,Married,Blue,54,2890,Existing Customer
184,53,M,Graduate,Married,Blue,45,3380,Existing Customer
185,47,M,Graduate,Married,Blue,36,21331,Existing Customer
186,49,F,Uneducated,Single,Blue,38,12860,Existing Customer
187,49,M,Post-Graduate,Single,Blue,33,6278,Existing Customer
188,60,F,College,Single,Blue,55,1438.3,Existing Customer
189,50,F,High School,Married,Blue,36,9355,Existing Customer
190,41,F,Post-Graduate,Married,Blue,31,20758,Existing Customer
191,57,M,Graduate,Married,Blue,47,14612,Existing Customer
192,43,M,Graduate,Unknown,Blue,27,27259,Existing Customer
193,57,F,Graduate,Married,Blue,47,6347,Existing Customer
194,54,M,Doctorate,Married,Blue,41,21592,Existing Customer
195,51,F,Post-Graduate,Married,Blue,44,3449,Existing Customer
196,47,F,High School,Married,Blue,34,6028,Existing Customer
197,41,M,High School,Unknown,Blue,36,18214,Existing Customer
198,53,M,Uneducated,Married,Blue,43,16393,Existing Customer
199,68,M,High School,Married,Blue,52,1438.3,Attrited Customer
200,59,M,College,Married,Blue,36,7871,Existing Customer
201,48,M,Unknown,Married,Blue,36,5288,Existing Customer
202,44,M,Graduate,Married,Blue,32,11376,Existing Customer
203,48,M,College,Married,Blue,41,12302,Existing Customer
204,47,M,Graduate,Married,Silver,33,34516,Existing Customer
205,47,M,Graduate,Married,Silver,32,34516,Existing Customer
206,43,F,High School,Divorced,Silver,35,10514,Existing Customer
207,55,F,Graduate,Married,Blue,43,1438.3,Attrited Customer
208,59,M,Post-Graduate,Married,Blue,46,1438.3,Attrited Customer
209,63,M,Graduate,Married,Blue,56,2619,Existing Customer
210,58,M,College,Married,Blue,53,24407,Existing Customer
211,53,F,High School,Married,Blue,36,2377,Existing Customer
212,59,M,Unknown,Unknown,Silver,40,34516,Existing Customer
213,52,M,Graduate,Married,Blue,47,11086,Existing Customer
214,48,M,High School,Single,Blue,36,11432,Existing Customer
215,43,M,High School,Married,Blue,36,13258,Existing Customer
216,48,M,College,Single,Blue,36,2571,Existing Customer
217,43,F,Graduate,Single,Blue,31,5781,Existing Customer
218,44,M,Unknown,Married,Blue,30,7872,Existing Customer
219,41,M,High School,Married,Blue,35,34516,Existing Customer
220,44,F,Uneducated,Divorced,Silver,38,11127,Existing Customer
221,50,M,Unknown,Single,Blue,43,1857,Existing Customer
222,60,F,Uneducated,Married,Blue,36,1913,Existing Customer
223,44,M,Graduate,Single,Blue,24,3839,Existing Customer
224,48,F,Graduate,Divorced,Blue,39,2115,Existing Customer
225,44,F,Graduate,Divorced,Blue,27,1438.3,Existing Customer
226,41,M,High School,Single,Blue,28,27756,Existing Customer
227,45,M,College,Single,Blue,32,1438.3,Existing Customer
228,47,F,Uneducated,Divorced,Silver,34,13878,Existing Customer
229,51,F,Graduate,Married,Blue,36,3106,Existing Customer
230,51,M,Graduate,Married,Blue,44,34516,Existing Customer
231,60,F,Uneducated,Married,Blue,50,1438.3,Attrited Customer
232,57,M,Unknown,Married,Blue,46,18871,Existing Customer
233,41,M,Graduate,Single,Blue,29,5207,Existing Customer
234,44,M,Post-Graduate,Divorced,Blue,36,17965,Existing Customer
235,43,M,College,Single,Blue,37,2733,Existing Customer
236,55,M,College,Married,Blue,48,8863,Existing Customer
237,52,M,Uneducated,Married,Blue,36,1857,Attrited Customer
238,44,M,Graduate,Unknown,Blue,33,34516,Existing Customer
239,41,M,Uneducated,Married,Blue,30,11107,Existing Customer
240,44,M,Unknown,Single,Blue,34,21573,Existing Customer
241,53,F,Unknown,Married,Blue,33,2859,Attrited Customer
242,39,M,High School,Single,Blue,36,5269,Existing Customer
243,49,M,College,Married,Blue,45,1438.3,Attrited Customer
244,45,F,College,Married,Blue,36,3387,Attrited Customer
245,54,M,Graduate,Married,Blue,46,1982,Existing Customer
246,49,M,Uneducated,Single,Blue,43,4645,Existing Customer
247,46,F,Doctorate,Single,Blue,36,2189,Existing Customer
248,46,M,High School,Married,Blue,30,2442,Attrited Customer
249,47,M,Graduate,Married,Blue,38,21304,Existing Customer
250,44,M,Doctorate,Single,Blue,36,7577,Existing Customer
251,50,M,Post-Graduate,Single,Blue,31,3234,Existing Customer
252,73,M,High School,Married,Blue,36,4469,Existing Customer
253,56,M,Unknown,Unknown,Blue,46,2910,Existing Customer
254,59,M,High School,Single,Blue,48,3616,Attrited Customer
255,70,M,High School,Married,Blue,56,3252,Existing Customer
256,55,F,High School,Married,Blue,36,2358,Existing Customer
257,43,M,Unknown,Single,Blue,36,22322,Existing Customer
258,45,M,Uneducated,Single,Blue,39,3133,Existing Customer
259,45,F,Uneducated,Single,Blue,35,3540,Existing Customer
260,40,M,Graduate,Married,Blue,23,6990,Existing Customer
261,36,M,College,Unknown,Blue,22,34516,Existing Customer
262,59,F,Post-Graduate,Married,Blue,40,1438.3,Attrited Customer
263,43,M,Unknown,Married,Blue,35,24396,Existing Customer
264,46,F,Unknown,Married,Blue,36,2474,Existing Customer
265,41,M,Uneducated,Married,Blue,32,5214,Existing Customer
266,51,F,Graduate,Married,Blue,46,5207,Existing Customer
267,51,F,Unknown,Unknown,Blue,25,9512,Existing Customer
268,43,F,Graduate,Divorced,Blue,23,3187,Existing Customer
269,64,F,High School,Married,Blue,53,3353,Attrited Customer
270,54,M,Graduate,Married,Blue,38,2290,Existing Customer
271,48,M,Unknown,Single,Blue,43,5279,Existing Customer
272,40,M,Uneducated,Divorced,Blue,29,23603,Existing Customer
273,57,M,Uneducated,Married,Blue,45,2601,Existing Customer
274,45,M,Graduate,Single,Blue,40,6363,Existing Customer
275,41,M,High School,Single,Blue,36,8029,Existing Customer
276,42,F,Uneducated,Married,Blue,31,2410,Existing Customer
277,45,M,Graduate,Single,Blue,36,3401,Attrited Customer
278,42,F,Uneducated,Married,Blue,23,2260,Existing Customer
279,47,M,Uneducated,Divorced,Blue,30,17682,Existing Customer
280,48,F,High School,Married,Blue,42,4206,Existing Customer
281,43,M,Graduate,Single,Silver,37,34516,Existing Customer
282,41,M,High School,Unknown,Blue,36,23018,Existing Customer
283,54,F,Uneducated,Married,Blue,44,5556,Existing Customer
284,54,F,High School,Married,Blue,44,6094,Attrited Customer
285,61,M,Graduate,Married,Blue,52,2939,Existing Customer
286,61,M,Uneducated,Married,Blue,48,5362,Existing Customer
287,48,M,High School,Married,Blue,36,27126,Attrited Customer
288,45,F,Graduate,Single,Blue,36,3342,Existing Customer
289,54,F,Graduate,Married,Blue,40,2532,Attrited Customer
290,54,F,Doctorate,Married,Blue,46,1900,Existing Customer
291,44,M,Graduate,Single,Blue,37,14546,Existing Customer
292,50,F,Doctorate,Single,Blue,36,2521,Existing Customer
293,55,M,Doctorate,Married,Blue,36,16427,Existing Customer
294,48,M,Graduate,Unknown,Blue,36,13068,Existing Customer
295,45,M,College,Single,Blue,33,23218,Existing Customer
296,60,M,High School,Married,Blue,36,3281,Existing Customer
297,55,M,High School,Married,Blue,47,3096,Existing Customer
298,62,F,High School,Married,Blue,52,2052,Existing Customer
299,38,F,High School,Unknown,Blue,30,1438.3,Existing Customer
300,46,M,High School,Single,Blue,39,9432,Existing Customer
301,50,M,High School,Single,Silver,45,14938,Existing Customer
302,45,M,Uneducated,Married,Blue,36,2221,Existing Customer
303,47,M,Post-Graduate,Divorced,Blue,37,5731,Existing Customer
304,48,M,College,Married,Gold,33,34516,Existing Customer
305,35,M,Uneducated,Married,Blue,22,6985,Existing Customer
306,51,M,Graduate,Married,Blue,42,24221,Existing Customer
307,36,F,High School,Married,Blue,24,15439,Existing Customer
308,47,M,Graduate,Single,Blue,36,21637,Existing Customer
309,52,M,Graduate,Single,Blue,37,14543,Existing Customer
310,43,F,Uneducated,Married,Blue,36,9684,Existing Customer
311,63,M,High School,Married,Blue,36,5007,Existing Customer
312,61,M,Graduate,Married,Blue,54,1616,Existing Customer
313,53,M,Uneducated,Single,Blue,40,19116,Existing Customer
314,53,F,Graduate,Married,Blue,47,2759,Existing Customer
315,57,M,Graduate,Married,Blue,38,8249,Attrited Customer
316,38,F,Graduate,Single,Blue,31,14041,Existing Customer
317,53,M,High School,Married,Blue,43,5264,Existing Customer
318,63,F,Unknown,Married,Blue,54,2420,Existing Customer
319,49,F,High School,Married,Blue,43,2826,Existing Customer
320,45,M,High School,Married,Blue,34,12518,Existing Customer
321,67,M,Graduate,Married,Blue,56,5876,Existing Customer
322,48,M,Graduate,Single,Silver,37,34516,Existing Customer
323,51,F,Uneducated,Divorced,Blue,38,9648,Existing Customer
324,52,M,High School,Single,Silver,40,34516,Existing Customer
325,55,F,Uneducated,Married,Blue,35,3025,Existing Customer
326,34,M,High School,Married,Blue,26,3265,Existing Customer
327,56,M,Uneducated,Married,Blue,36,6041,Existing Customer
328,44,F,Post-Graduate,Married,Blue,36,2293,Existing Customer
329,47,M,Post-Graduate,Unknown,Blue,36,13399,Existing Customer
330,46,F,Unknown,Married,Blue,38,4317,Existing Customer
331,43,F,Graduate,Single,Blue,29,3378,Existing Customer
332,50,F,Graduate,Single,Blue,36,5012,Existing Customer
333,38,F,Uneducated,Single,Blue,30,2569,Existing Customer
334,53,F,Graduate,Single,Blue,45,3471,Existing Customer
335,43,M,Graduate,Divorced,Silver,31,34516,Existing Customer
336,53,M,High School,Married,Blue,36,3312,Existing Customer
337,56,F,Graduate,Married,Blue,38,2578,Existing Customer
338,54,M,Unknown,Married,Blue,44,2902,Attrited Customer
339,57,F,High School,Married,Blue,39,2742,Existing Customer
340,62,M,High School,Married,Blue,53,2077,Existing Customer
341,46,F,Graduate,Single,Blue,40,6265,Existing Customer
342,49,M,Uneducated,Married,Blue,44,7819,Existing Customer
343,52,M,Graduate,Single,Blue,42,2731,Existing Customer
344,58,M,Uneducated,Married,Blue,36,1438.3,Attrited Customer
345,54,M,High School,Married,Blue,36,16286,Existing Customer
346,49,M,Graduate,Married,Blue,39,34516,Existing Customer
347,58,F,High School,Married,Blue,47,2609,Existing Customer
348,52,M,High School,Single,Blue,45,7567,Existing Customer
349,41,M,High School,Married,Blue,33,22770,Existing Customer
350,62,F,Uneducated,Married,Blue,50,3791,Existing Customer
351,54,M,Graduate,Married,Blue,39,2702,Existing Customer
352,40,F,High School,Divorced,Blue,35,2555,Existing Customer
353,43,M,Graduate,Married,Blue,26,2355,Existing Customer
354,53,F,Graduate,Single,Blue,42,5332,Existing Customer
355,55,M,Uneducated,Single,Blue,49,1443,Existing Customer
356,46,M,Graduate,Single,Blue,39,10741,Existing Customer
357,41,M,Uneducated,Married,Blue,25,7984,Existing Customer
358,49,M,Uneducated,Single,Blue,32,18584,Existing Customer
359,61,F,Graduate,Married,Blue,56,5585,Existing Customer
360,46,M,Uneducated,Married,Blue,38,34516,Existing Customer
361,50,F,Uneducated,Married,Blue,43,1438.3,Existing Customer
362,40,M,Graduate,Single,Blue,24,2478,Existing Customer
363,51,M,High School,Single,Blue,46,34516,Existing Customer
364,50,F,Graduate,Married,Blue,44,2339,Existing Customer
365,47,F,Graduate,Married,Blue,36,2726,Existing Customer
366,43,M,Unknown,Married,Blue,39,14881,Existing Customer
367,36,F,Graduate,Married,Blue,36,1628,Existing Customer
368,47,F,Graduate,Married,Blue,34,3156,Existing Customer
369,46,F,Graduate,Single,Blue,41,4745,Existing Customer
370,46,M,High School,Married,Blue,36,19727,Existing Customer
371,52,M,Uneducated,Married,Blue,36,22720,Existing Customer
372,43,M,Unknown,Married,Blue,36,8129,Existing Customer
373,40,F,Graduate,Single,Blue,27,3751,Existing Customer
374,54,F,High School,Married,Blue,36,1594,Existing Customer
375,55,F,High School,Single,Blue,43,2569,Existing Customer
376,49,F,Post-Graduate,Single,Blue,44,18206,Existing Customer
377,45,M,High School,Married,Blue,34,3104,Existing Customer
378,49,M,Graduate,Married,Blue,41,2406,Existing Customer
379,63,M,Uneducated,Married,Blue,36,24571,Existing Customer
380,40,F,High School,Single,Gold,36,15534,Existing Customer
381,41,F,Graduate,Married,Silver,33,12301,Existing Customer
382,37,M,Graduate,Married,Blue,26,2846,Existing Customer
383,58,M,Uneducated,Unknown,Blue,49,9788,Existing Customer
384,55,M,High School,Married,Blue,36,7231,Existing Customer
385,53,F,High School,Married,Blue,48,2324,Existing Customer
386,57,M,Graduate,Married,Blue,40,12208,Existing Customer
387,43,M,Post-Graduate,Unknown,Blue,30,5639,Attrited Customer
388,58,M,Graduate,Married,Blue,46,10021,Existing Customer
389,64,M,Unknown,Married,Blue,56,2215,Existing Customer
390,54,F,Graduate,Married,Blue,44,2027,Existing Customer
391,53,M,Graduate,Married,Blue,47,6363,Existing Customer
392,39,F,College,Single,Blue,25,3920,Existing Customer
393,56,M,High School,Married,Blue,36,9226,Existing Customer
394,54,F,Unknown,Divorced,Blue,49,9376,Existing Customer
395,59,F,Post-Graduate,Married,Blue,46,1944,Existing Customer
396,42,M,Uneducated,Single,Blue,36,9599,Existing Customer
397,42,M,Graduate,Married,Silver,28,28202,Existing Customer
398,43,M,College,Unknown,Blue,39,24850,Existing Customer
399,55,M,High School,Married,Blue,49,3805,Existing Customer
400,52,M,Uneducated,Single,Blue,37,2733,Existing Customer
401,46,M,Uneducated,Unknown,Blue,27,12781,Existing Customer
402,57,M,Uneducated,Married,Blue,40,3106,Attrited Customer
403,48,M,College,Married,Blue,42,7477,Existing Customer
404,45,M,Unknown,Married,Blue,33,34516,Existing Customer
405,48,M,High School,Married,Blue,36,29963,Existing Customer
406,47,M,Graduate,Single,Blue,36,6509,Existing Customer
407,42,M,College,Married,Blue,34,13450,Attrited Customer
408,41,M,Graduate,Unknown,Silver,36,27000,Existing Customer
409,51,M,College,Married,Silver,31,34516,Existing Customer
410,55,F,Graduate,Single,Blue,47,6347,Existing Customer
411,67,M,Uneducated,Married,Blue,49,3106,Existing Customer
412,39,M,Graduate,Married,Blue,31,2536,Existing Customer
413,54,M,Post-Graduate,Single,Blue,35,13048,Existing Customer
414,55,F,Unknown,Married,Blue,37,2453,Existing Customer
415,47,M,High School,Married,Silver,36,16138,Existing Customer
416,49,M,Post-Graduate,Married,Blue,38,8077,Existing Customer
417,42,F,Graduate,Married,Blue,23,1929,Attrited Customer
418,57,M,Unknown,Single,Blue,36,3127,Existing Customer
419,44,M,Uneducated,Married,Blue,36,8645,Existing Customer
420,56,M,Unknown,Single,Blue,49,1438.3,Existing Customer
421,49,F,Graduate,Married,Blue,38,2185,Attrited Customer
422,45,M,Graduate,Single,Blue,32,24487,Existing Customer
423,63,M,High School,Married,Blue,36,2567,Existing Customer
424,44,M,Graduate,Single,Blue,33,4131,Existing Customer
425,44,F,College,Married,Silver,37,10790,Existing Customer
426,40,M,High School,Married,Blue,33,6884,Existing Customer
427,39,M,Uneducated,Single,Blue,36,13961,Attrited Customer
428,42,M,High School,Married,Blue,30,29801,Existing Customer
429,54,M,High School,Married,Blue,43,13219,Existing Customer
430,58,F,Unknown,Married,Blue,46,2536,Attrited Customer
431,46,F,Graduate,Divorced,Blue,36,9478,Existing Customer
432,47,F,Unknown,Divorced,Blue,34,3502,Existing Customer
433,67,F,Unknown,Married,Blue,56,10509,Existing Customer
434,50,F,College,Divorced,Blue,36,1491,Existing Customer
435,55,M,High School,Divorced,Blue,46,9734,Existing Customer
436,46,F,Graduate,Married,Blue,22,2305,Existing Customer
437,47,F,Uneducated,Married,Blue,36,14241,Existing Customer
438,36,F,Unknown,Married,Blue,25,4789,Existing Customer
439,40,M,Doctorate,Divorced,Blue,34,23138,Existing Customer
440,57,M,Unknown,Single,Blue,38,23008,Existing Customer
441,48,M,Unknown,Divorced,Blue,36,3131,Existing Customer
442,58,F,Graduate,Married,Blue,53,5798,Existing Customer
443,48,M,Graduate,Single,Blue,36,6880,Existing Customer
444,48,M,Graduate,Unknown,Platinum,41,34516,Existing Customer
445,53,F,College,Married,Blue,34,2075,Existing Customer
446,50,M,Graduate,Married,Blue,44,4589,Existing Customer
447,52,F,Graduate,Single,Blue,40,2317,Attrited Customer
448,53,F,Uneducated,Single,Blue,45,1981,Attrited Customer
449,56,F,Graduate,Single,Blue,47,6038,Existing Customer
450,44,M,Unknown,Single,Blue,32,14910,Existing Customer
451,49,M,High School,Married,Blue,39,29659,Existing Customer
452,54,M,Graduate,Married,Blue,42,4320,Attrited Customer
453,39,F,Unknown,Single,Blue,36,11213,Existing Customer
454,39,F,Uneducated,Divorced,Blue,29,26181,Existing Customer
455,41,F,High School,Single,Blue,31,5773,Existing Customer
456,53,M,Uneducated,Married,Blue,36,4503,Attrited Customer
457,47,M,Uneducated,Married,Blue,36,29770,Existing Customer
458,46,F,Post-Graduate,Married,Blue,28,5014,Existing Customer
459,53,F,High School,Married,Blue,47,3445,Existing Customer
460,60,M,Graduate,Married,Blue,50,23412,Existing Customer
